year,month,supplier,item_code,item_description,item_type,retail_sales,retail_transfers,warehouse_sales,original_description,package_size,total_sales,quarter,operational_activity
2020,1,LEGENDS LTD,25049,ERDINGER HEFE WEISSE,KEGS,0.0,0.0,-1.0,ERDINGER HEFE WEISSE 50L 1/2K,50L,-1.0,1,LOW
2020,1,LEGENDS LTD,25156,BRECKENRIDGE VANILLA PORTER,KEGS,0.0,0.0,1.0,BRECKENRIDGE VANILLA PORTER 1/2K,1/2K,1.0,1,LOW
2020,1,LEGENDS LTD,25195,DUVEL,KEGS,0.0,0.0,3.0,DUVEL 20L 1/6K,20L,3.0,1,LOW
2020,1,TROEGS BREWING COMPANY,25263,TROEGS NUGGET NECTAR EG,KEGS,0.0,0.0,1.0,TROEGS NUGGET NECTAR 1/2 KEG,1/2K,1.0,1,LOW
2020,1,LEGENDS LTD,25280,LAGUNITAS PALE ALE,KEGS,0.0,0.0,1.0,LAGUNITAS PALE ALE 1/2K,1/2K,1.0,1,LOW
2020,1,DELMAR BREWING COMPANY LLC,25302,EVOLUTION LOT # 3,KEGS,0.0,0.0,47.0,EVOLUTION LOT # 3 1/2K,1/2K,47.0,1,MEDIUM
2020,1,BOSTON BEER CORPORATION,25444,ANGRY ORCHARD CRISP APPLE,KEGS,0.0,0.0,51.0,ANGRY ORCHARD CRISP APPLE 1/2K,1/2K,51.0,1,MEDIUM
2020,1,FLYING DOG BREWERY LLLP,25543,FLYING DOG UNDERDOG GOLD LGR,KEGS,0.0,0.0,4.0,FLYING DOG UNDERDOG GOLD LGR 1/2,1/2,4.0,1,LOW
2020,1,NEW BELGIUM BREWING INC,25564,NB FAT TIRE,KEGS,0.0,0.0,33.0,NB FAT TIRE 1/2K,1/2K,33.0,1,MEDIUM
2020,1,NEW BELGIUM BREWING INC,25575,NB FAT TIRE,KEGS,0.0,0.0,33.0,NB FAT TIRE 1/6K,1/6K,33.0,1,MEDIUM
2020,1,FLYING DOG BREWERY LLLP,25579,FLYING DOG NUMERO UNO,KEGS,0.0,0.0,16.0,FLYING DOG NUMERO UNO  1/2K,1/2K,16.0,1,MEDIUM
2020,1,FLYING DOG BREWERY LLLP,25581,FLYING DOG THE TRUTH,KEGS,0.0,0.0,17.0,FLYING DOG THE TRUTH 1/2K,1/2K,17.0,1,MEDIUM
2020,1,NEW BELGIUM BREWING INC,25587,NB VOODOO RANGER IPA,KEGS,0.0,0.0,6.0,NB VOODOO RANGER IPA 1/2K,1/2K,6.0,1,LOW
2020,1,DELMAR BREWING COMPANY LLC,25669,EVOLUTION PRIMAL PALE ALE,KEGS,0.0,0.0,2.0,EVOLUTION PRIMAL PALE ALE 1/6K,1/6K,2.0,1,LOW
2020,1,NORTH LOCK LLC DBA PORT CITY BREWING CO,25741,PORT CITY PORTER EG,KEGS,0.0,0.0,1.0,PORT CITY PORTER 1/2 KEG,1/2K,1.0,1,LOW
2020,1,NORTH LOCK LLC DBA PORT CITY BREWING CO,25742,PORT CITY MONUMENTAL IPA EG,KEGS,0.0,0.0,5.0,PORT CITY MONUMENTAL IPA 1/2 KEG,1/2K,5.0,1,LOW
